Crosswalk of Azimuth annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Ellen M. Quardokus,,,,,
Liver_L1,UBERON:0002107,Plasma,AZ:0000158,plasma cell,CL:0000786,skos:exactMatch
Liver_L1,UBERON:0002107,T/NK,AZ:0000159,mature NK T cell,CL:0000814,skos:exactMatch
Heart_L1,UBERON:0000948,Adipocyte,AZ:0000160,adipocyte,CL:0000136,skos:exactMatch
Heart_L1,UBERON:0000948,B,AZ:0000161,B cell,CL:0000236,skos:exactMatch
Heart_L1,UBERON:0000948,Cardiomyocyte,AZ:0000162,cardiac muscle cell,CL:0000746,skos:exactMatch
Heart_L1,UBERON:0000948,Endothelial,AZ:0000163,endothelial cell,CL:0000115,skos:exactMatch
Heart_L1,UBERON:0000948,Fibroblast,AZ:0000164,fibroblast,CL:0000057,skos:exactMatch
Heart_L1,UBERON:0000948,Lymphatic Endothelial,AZ:0000165,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
Heart_L1,UBERON:0000948,Mast,AZ:0000166,mast cell,CL:0000097,skos:exactMatch
Heart_L1,UBERON:0000948,Mesothelial,AZ:0000167,mesothelial cell,CL:0000077,skos:exactMatch
Heart_L1,UBERON:0000948,Myeloid,AZ:0000168,myeloid cell,CL:0000763,skos:exactMatch
Heart_L1,UBERON:0000948,Neuronal,AZ:0000169,neuron,CL:0000540,skos:exactMatch
Heart_L1,UBERON:0000948,NK/T,AZ:0000170,mature NK T cell,CL:0000814,skos:exactMatch
Heart_L1,UBERON:0000948,Pericyte,AZ:0000171,pericyte,CL:0000669,skos:exactMatch
Heart_L1,UBERON:0000948,Smooth Muscle,AZ:0000172,smooth muscle cell,CL:0000192,skos:exactMatch
Kidney_L1,UBERON:0002113,Ascending Thin Limb,AZ:0000173,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,skos:exactMatch
Kidney_L1,UBERON:0002113,Connecting Tubule,AZ:0000174,kidney connecting tubule epithelial cell,CL:1000768,skos:exactMatch
Kidney_L1,UBERON:0002113,Descending Thin Limb,AZ:0000175,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,skos:exactMatch
Kidney_L1,UBERON:0002113,Distal Convoluted Tubule,AZ:0000176,kidney distal convoluted tubule epithelial cell,CL:1000849,skos:exactMatch
Kidney_L1,UBERON:0002113,Endothelial,AZ:0000177,endothelial cell,CL:0000115,skos:exactMatch
Kidney_L1,UBERON:0002113,Fibroblast,AZ:0000178,fibroblast,CL:0000057,skos:exactMatch
Kidney_L1,UBERON:0002113,Immune,AZ:0000179,leukocyte,CL:0000738,skos:exactMatch
Kidney_L1,UBERON:0002113,Intercalated,AZ:0000180,renal intercalated cell,CL:0005010,skos:exactMatch
Kidney_L1,UBERON:0002113,Papillary Tip Epithelial,AZ:0000181,papillary tips cell,CL:1000597,skos:exactMatch
Kidney_L1,UBERON:0002113,Parietal Epithelial,AZ:0000182,parietal epithelial cell,CL:1000452,skos:exactMatch
Kidney_L1,UBERON:0002113,Podocyte,AZ:0000183,podocyte,CL:0000653,skos:exactMatch
Kidney_L1,UBERON:0002113,Principal,AZ:0000184,renal principal cell,CL:0005009,skos:exactMatch
Kidney_L1,UBERON:0002113,Proximal Tubule,AZ:0000185,epithelial cell of proximal tubule,CL:0002306,skos:exactMatch
Kidney_L1,UBERON:0002113,Schwann,AZ:0000186,Schwann cell,CL:0002573,skos:exactMatch
Kidney_L1,UBERON:0002113,Thick Ascending Limb,AZ:0000187,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,skos:exactMatch
Kidney_L1,UBERON:0002113,Vascular Smooth Muscle / Pericyte,AZ:0000188,renal interstitial pericyte,CL:1001318,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,ASDC_mDC,AZ:0000189,myeloid dendritic cell:AXL+,CL:0000782,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,ASDC_pDC,AZ:0000190,plasmacytoid dendritic cell:AXL+,CL:0000784,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B intermediate kappa,AZ:0000191,transitional stage B cell:kappa light chain,CL:0000818,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B intermediate lambda,AZ:0000192,transitional stage B cell:lambda light chain,CL:0000818,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B memory kappa,AZ:0000193,memory B cell:kappa light chain,CL:0000787,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B memory lambda,AZ:0000194,memory B cell:lambda light chain,CL:0000787,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B naive kappa,AZ:0000195,naive B cell:kappa light chain,CL:0000788,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,B naive lambda,AZ:0000196,naive B cell:lambda light chain,CL:0000788,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD14 Mono,AZ:0000197,"CD14-positive, CD16-negative classical monocyte",CL:0002057,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,CD16 Mono,AZ:0000198,"CD14-low, CD16-positive monocyte",CL:0002396,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,CD4 CTL,AZ:0000199,"CD4-positive, alpha-beta cytotoxic T cell",CL:0000934,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,CD4 Naive,AZ:0000200,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,skos:exactMatch
Human_PBMC_L3,UBERON:0000178,CD4 Proliferating,AZ:0000201,"activated CD4-positive, alpha-beta T cell:proliferating",CL:0000896,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TCM_1,AZ:0000202,"CD4-positive, alpha-beta memory T cell:1",CL:0000897,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TCM_2,AZ:0000203,"CD4-positive, alpha-beta memory T cell:2",CL:0000897,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TCM_3,AZ:0000204,"CD4-positive, alpha-beta memory T cell:3",CL:0000897,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TEM_1,AZ:0000205,"effector CD4-positive, alpha-beta T cell:1",CL:0001044,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TEM_2,AZ:0000206,"effector CD4-positive, alpha-beta T cell:2",CL:0001044,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TEM_3,AZ:0000207,"effector CD4-positive, alpha-beta T cell:3",CL:0001044,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD4 TEM_4,AZ:0000208,"effector CD4-positive, alpha-beta T cell:4",CL:0001044,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 Naive,AZ:0000209,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 Naive_2,AZ:0000210,"naive thymus-derived CD8-positive, alpha-beta T cell:2",CL:0000900,skos:narrowMatch
Human_PBMC_L3,UBERON:0000178,CD8 Proliferating,AZ:0000211,"activated CD8-positive, alpha-beta T cell:proliferating",CL:0000906,skos:narrowMatch
